id,batch_id,source_table,reference_table,matching_algorithm,matched_data,status,confidence_score,created_at,matching_type
7435408,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 14302, 'id_2': 14303, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'jl. simpang kepuh utara no.37, bandungrejosari, kec. sukun, kota malang, jawa timur 65148 toko prima jaya (kepuh) toko prima jaya (kepuh) rt 005 rw 010 112.6228448', 'combined_2': 'jl. simpang kepuh utara no.37a, bandungrejosari, kec. sukun, kota malang, jawa timur 65148 toko kepuh jaya plastik toko kepuh jaya plastik rt 007 rw 010 112.6231533', 'confidence': 0.9998250603675842, 'faiss_score': 0.7527170181274414, 'fuzzy_score': 91, 'source_table': 'ganda', 'fuzzy_combined': 91, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.398128+00:00,Self Match
7435407,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 14303, 'id_2': 14302, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'jl. simpang kepuh utara no.37a, bandungrejosari, kec. sukun, kota malang, jawa timur 65148 toko kepuh jaya plastik toko kepuh jaya plastik rt 007 rw 010 112.6231533', 'combined_2': 'jl. simpang kepuh utara no.37, bandungrejosari, kec. sukun, kota malang, jawa timur 65148 toko prima jaya (kepuh) toko prima jaya (kepuh) rt 005 rw 010 112.6228448', 'confidence': 0.9998250603675842, 'faiss_score': 0.7527170181274414, 'fuzzy_score': 91, 'source_table': 'ganda', 'fuzzy_combined': 91, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.392666+00:00,Self Match
7435406,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 14223, 'id_2': 14227, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'jl. simpang gading no.14, gading kasri, kec. klojen, kota malang, jawa timur 65115 rafi laundry rafi laundry rt 002 rw 006 112.6146353', 'combined_2': 'jl. simpang gading no.8 d, gading kasri, kec. klojen, kota malang, jawa timur 65115 reva laundry reva laundry rt 002 rw 006 112.6145822', 'confidence': 0.9998250603675842, 'faiss_score': 0.8489800095558167, 'fuzzy_score': 92, 'source_table': 'ganda', 'fuzzy_combined': 92, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.388011+00:00,Self Match
7435405,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 14227, 'id_2': 14223, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'jl. simpang gading no.8 d, gading kasri, kec. klojen, kota malang, jawa timur 65115 reva laundry reva laundry rt 002 rw 006 112.6145822', 'combined_2': 'jl. simpang gading no.14, gading kasri, kec. klojen, kota malang, jawa timur 65115 rafi laundry rafi laundry rt 002 rw 006 112.6146353', 'confidence': 0.9998250603675842, 'faiss_score': 0.8489800095558167, 'fuzzy_score': 92, 'source_table': 'ganda', 'fuzzy_combined': 92, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.381079+00:00,Self Match
7435404,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 14029, 'id_2': 14030, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'jl. sigura-gura iii no.19, sumbersari, kec. lowokwaru, kota malang, jawa timur 65145 kos devana kos devana rt 001 rw 007 112.610329', 'combined_2': 'jl. sigura-gura iii no.19, sumbersari, kec. lowokwaru, kota malang, jawa timur 65145 kosku kosku rt 001 rw 007 112.6103283', 'confidence': 0.9998250603675842, 'faiss_score': 0.7117360234260559, 'fuzzy_score': 91, 'source_table': 'ganda', 'fuzzy_combined': 91, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.377017+00:00,Self Match
7435403,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 14030, 'id_2': 14029, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'jl. sigura-gura iii no.19, sumbersari, kec. lowokwaru, kota malang, jawa timur 65145 kosku kosku rt 001 rw 007 112.6103283', 'combined_2': 'jl. sigura-gura iii no.19, sumbersari, kec. lowokwaru, kota malang, jawa timur 65145 kos devana kos devana rt 001 rw 007 112.610329', 'confidence': 0.9998250603675842, 'faiss_score': 0.7117360234260559, 'fuzzy_score': 91, 'source_table': 'ganda', 'fuzzy_combined': 91, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.371753+00:00,Self Match
7435402,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 13841, 'id_2': 13843, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'jl. semanggi bar. no.2, jatimulyo, kec. lowokwaru, kota malang, jawa timur 65141 laundry bar laundry bar rt 001 rw 003 112.6157011', 'combined_2': 'jl. semanggi bar. no.23c, jatimulyo, kec. lowokwaru, kota malang, jawa timur 65141 c2 laundry c2 laundry rt 001 rw 003 112.6167791', 'confidence': 0.9998250603675842, 'faiss_score': 0.8628280162811279, 'fuzzy_score': 93, 'source_table': 'ganda', 'fuzzy_combined': 93, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.366024+00:00,Self Match
7435401,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 13843, 'id_2': 13841, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'jl. semanggi bar. no.23c, jatimulyo, kec. lowokwaru, kota malang, jawa timur 65141 c2 laundry c2 laundry rt 001 rw 003 112.6167791', 'combined_2': 'jl. semanggi bar. no.2, jatimulyo, kec. lowokwaru, kota malang, jawa timur 65141 laundry bar laundry bar rt 001 rw 003 112.6157011', 'confidence': 0.9998250603675842, 'faiss_score': 0.8628280162811279, 'fuzzy_score': 93, 'source_table': 'ganda', 'fuzzy_combined': 93, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.361300+00:00,Self Match
7435400,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 13538, 'id_2': 13542, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'jl. sampurna no.6, cemorokandang, kec. kedungkandang, kota malang, jawa timur 65138 toko alya toko alya rt 002 rw 001 112.688477', 'combined_2': 'jl. sampurna no.8a, cemorokandang, kec. kedungkandang, kota malang, jawa timur 65138 toko ayu toko ayu rt 003 rw 001 112.6870133', 'confidence': 0.9998250603675842, 'faiss_score': 0.7044439911842346, 'fuzzy_score': 92, 'source_table': 'ganda', 'fuzzy_combined': 92, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.355851+00:00,Self Match
7435399,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 13542, 'id_2': 13538, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'jl. sampurna no.8a, cemorokandang, kec. kedungkandang, kota malang, jawa timur 65138 toko ayu toko ayu rt 003 rw 001 112.6870133', 'combined_2': 'jl. sampurna no.6, cemorokandang, kec. kedungkandang, kota malang, jawa timur 65138 toko alya toko alya rt 002 rw 001 112.688477', 'confidence': 0.9998250603675842, 'faiss_score': 0.7044439911842346, 'fuzzy_score': 92, 'source_table': 'ganda', 'fuzzy_combined': 92, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.351410+00:00,Self Match
7435398,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 13486, 'id_2': 13487, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'jl. s. supriadi no.gg 2, bandungrejosari, kec. sukun, kota malang, jawa timur 65148 warung bu har warung bu har rt 008 rw 012 112.6158352', 'combined_2': 'jl. s. supriadi no.gg 2, bandungrejosari, kec. sukun, kota malang, jawa timur 65148 warung bu imam warung bu imam rt 011 rw 012 112.6162412', 'confidence': 0.9998250603675842, 'faiss_score': 0.7600489854812622, 'fuzzy_score': 92, 'source_table': 'ganda', 'fuzzy_combined': 92, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.346762+00:00,Self Match
7435397,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 13487, 'id_2': 13486, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'jl. s. supriadi no.gg 2, bandungrejosari, kec. sukun, kota malang, jawa timur 65148 warung bu imam warung bu imam rt 011 rw 012 112.6162412', 'combined_2': 'jl. s. supriadi no.gg 2, bandungrejosari, kec. sukun, kota malang, jawa timur 65148 warung bu har warung bu har rt 008 rw 012 112.6158352', 'confidence': 0.9998250603675842, 'faiss_score': 0.7600489854812622, 'fuzzy_score': 92, 'source_table': 'ganda', 'fuzzy_combined': 92, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.340711+00:00,Self Match
7435396,3ef123f3-886f-4179-9f36-ff6182372877,ganda,ganda,COMBINED,"{'id_1': 13196, 'id_2': 13198, 'batch_id': '3ef123f3-886f-4179-9f36-ff6182372877', 'ambiguous': 0, 'predicted': 1, 'combined_1': 'jl. raya tlogomas gg. 15c no.15a, tlogomas, kec. lowokwaru, kota malang, jawa timur 65144 kost putri aalifa kost putri aalifa rt 005 rw 007 112.5991889', 'combined_2': 'jl. raya tlogomas gg. 15c no.8, tlogomas, kec. lowokwaru, kota malang, jawa timur 65144 kos putri asri kos putri asri rt 005 rw 007 112.598963', 'confidence': 0.9998250603675842, 'faiss_score': 0.7483170032501221, 'fuzzy_score': 91, 'source_table': 'ganda', 'fuzzy_combined': 91, 'reference_table': 'ganda', 'is_self_matching': True}",MATCH,0.999825060367584,2025-07-22 10:30:11.335694+00:00,Self Match
